marque,modèle,Puissance fiscale,Année,price,Carburant,Kilométrage
Peugeot,208,6,2023,193000,Diesel,49000.0
Dacia,Duster,6,2021,194000,Diesel,109000.0
Opel,Grandland,6,2023,267000,Diesel,24000.0
Hyundai,Tucson,6,2021,297000,Diesel,129000.0
Volkswagen,Tiguan,8,2015,228000,Diesel,189000.0
Jeep,Cherokee,8,2017,179000,Diesel,169000.0
Volvo,S60,6,2016,164000,Diesel,149000.0
Peugeot,508,6,2012,114000,Diesel,199000.0
Audi,Sq5,12,2016,359000,Diesel,149000.0
Fiat,500,7,2024,174000,Essence,9000.0
Mercedes,Glc,9,2016,367000,Diesel,169000.0
Toyota,Corolla sport 140,10,2020,185000,Diesel,89000.0
Hyundai,Tucson,6,2019,240000,Diesel,74000.0
Renault,Megane 4,6,2020,179000,Diesel,64000.0
Renault,Megane 4,6,2019,175000,Diesel,99000.0
Mercedes,Gle,9,2018,325000,Diesel,206000.0
Mercedes,180,6,2014,146000,Diesel,146000.0
Audi,Q5,8,2020,350000,Diesel,119000.0
Fiat,Panda,6,2020,93000,Essence,119000.0
Peugeot,3008,8,2021,285000,Diesel,79000.0
Skoda,Octavia,8,2024,375000,Diesel,4000.0
Seat,Leon,8,2024,335000,Diesel,9000.0
Opel,Astra,6,2017,128000,Diesel,159000.0
Dacia,Sandero,6,2023,167000,Diesel,59000.0
Volkswagen,Touareg,10,2010,95000,Diesel,150000.0
Hyundai,Tucson,6,2022,333000,Diesel,73000.0
Toyota,Yaris,6,2019,125000,Essence,12000.0
Skoda,Superb,8,2019,193000,Diesel,161000.0
Volkswagen,Golf 7,8,2019,350000,Diesel,139000.0
Toyota,Corolla,8,2005,60000,Diesel,331000.0
Jeep,Cherokee,8,2016,155000,Diesel,222000.0
Toyota,Hilux,10,2018,240000,Diesel,105000.0
Kia,Picanto,6,2022,123000,Essence,64000.0
Mercedes,Classe c,6,2019,380000,Diesel,399000.0
Mini,Cooper,6,2019,275000,Diesel,29000.0
Seat,Ibiza,5,2018,108000,Diesel,150000.0
Renault,Clio,6,2013,95000,Diesel,275000.0
Mercedes,Gle,9,2018,325000,Diesel,131000.0
Volkswagen,Polo,6,2020,150000,Essence,14000.0
Hyundai,Elantra,6,2014,140000,Diesel,109000.0
Hyundai,Tucson,9,2022,359999,Hybride,24000.0
Volkswagen,Tiguan,8,2020,350000,Diesel,59000.0
Peugeot,3008,8,2018,237000,Diesel,97000.0
Fiat,500,7,2021,134000,Essence,59000.0
Opel,Astra,6,2022,287000,Diesel,4000.0
Peugeot,508,8,2020,320000,Diesel,84000.0
Citroen,Ds,8,2019,279000,Diesel,89000.0
Mercedes,Classe c,6,2020,285000,Diesel,159000.0
Peugeot,508,8,2020,225000,Diesel,99000.0
Peugeot,3008,8,2021,275000,Diesel,119000.0
Citroen,Autre,8,2020,300000,Diesel,54000.0
Kia,Picanto,6,2020,112000,Essence,39000.0
Volkswagen,Tiguan,8,2019,270000,Diesel,109000.0
Hyundai,Tucson,6,2021,263000,Diesel,89000.0
Opel,Corsa,5,2024,190000,Diesel,4000.0
Peugeot,3008,8,2019,230000,Diesel,129000.0
Volkswagen,Jetta,8,2020,198000,Diesel,84000.0
Mercedes,220,9,2003,83000,Diesel,300000.0
Volvo,Xc60,8,2014,152000,Diesel,200000.0
Mazda,6,9,2016,155000,Diesel,99600.0
Citroen,C4,6,2016,142000,Diesel,153000.0
Dacia,Sandero,6,2018,125000,Diesel,61400.0
Ds,Ds4 crossback,6,2023,320000,Diesel,9000.0
Audi,A4,8,2020,310000,Diesel,129000.0
Hyundai,Santa fe,9,2020,280000,Diesel,159000.0
Hyundai,I30,6,2021,235000,Diesel,74000.0
Mitsubishi,Canter,10,2015,205000,Diesel,159000.0
Opel,Astra,6,2023,276000,Diesel,54000.0
Honda,Civic,6,2019,180000,Diesel,77000.0
Audi,A3 sportback,8,2016,265000,Diesel,139000.0
Hyundai,Tucson,6,2022,305000,Diesel,69000.0
Jeep,Wrangler,11,2018,340000,Diesel,32000.0
Opel,Mokka,6,2023,235000,Diesel,34000.0
Hyundai,I20,6,2019,135000,Diesel,94000.0
Fiat,500,7,2021,134000,Essence,64000.0
Peugeot,508,8,2021,300000,Diesel,109000.0
Jeep,Grand cherokee,12,2021,295000,Diesel,69000.0
Renault,Megane 4,6,2021,179000,Diesel,99000.0
Volvo,Xc60,8,2019,325000,Diesel,129000.0
Zotye,Nomad,6,2014,56000,Essence,51000.0
Citroen,C4,6,2021,190000,Diesel,94000.0
Fiat,Tipo,8,2020,100000,Essence,44000.0
Opel,Crossland,6,2022,195000,Diesel,29000.0
Volkswagen,Passat,8,2003,63000,Diesel,300000.0
Land-rover,Range rover evoque,8,2018,325000,Diesel,49000.0
Peugeot,3008,8,2021,275000,Diesel,104000.0
Volkswagen,Golf 7,8,2019,215000,Diesel,119000.0
Volkswagen,Touran,8,2018,250000,Diesel,150000.0
Jeep,Grand cherokee,12,2017,210000,Diesel,199000.0
Renault,Clio,6,2023,153000,Diesel,50000.0
Mercedes,Classe a,6,2015,150000,Diesel,192000.0
Renault,Clio,6,2017,107000,Diesel,139860.0
Fiat,Punto,6,2012,37000,Essence,180000.0
Jaguar,Xe,8,2016,190000,Diesel,200400.0
Ford,Focus 5p,6,2012,122000,Diesel,141028.0
Dacia,Dokker,6,2020,165000,Diesel,60000.0
Renault,Clio,6,2017,108000,Diesel,88000.0
Dacia,Dokker,6,2021,149000,Diesel,54000.0
Opel,Crossland,6,2020,160000,Diesel,148000.0
Chevrolet,Cmp,5,2009,54000,Essence,200000.0
Dacia,Dokker,4,2018,84000,Diesel,140000.0
Bmw,Serie 5,8,2014,190000,Diesel,233000.0
Citroen,C3,6,2019,123000,Diesel,118000.0
Bmw,Serie 1,11,2009,112000,Essence,179500.0
Volkswagen,Golf 7,8,2019,320000,Diesel,139000.0
Hyundai,Tucson,7,2017,250000,Diesel,150000.0
Audi,A3 berline,8,2017,223000,Diesel,97000.0
Audi,Q5,8,2014,238000,Diesel,249000.0
Suzuki,Jimny,4,2021,190000,Essence,37000.0
Opel,Grandland,6,2020,195000,Diesel,37000.0
Jeep,Grand cherokee,12,2017,210000,Diesel,157000.0
Volkswagen,Golf 7,8,2019,215000,Diesel,109.0
Volvo,Xc40,8,2021,267000,Essence,64000.0
Lancia,Thema,12,2013,185000,Diesel,159000.0
Kia,Seltos,6,2022,225000,Diesel,54000.0
Kia,Sportage,8,2022,265000,Diesel,64000.0
Ford,Focus 5p,6,2017,162000,Diesel,70000.0
Audi,A1,6,2016,170000,Diesel,56000.0
Toyota,Corolla,10,2021,210000,Hybride,160000.0
Citroen,C3 aircross,6,2020,179000,Diesel,62000.0
Mercedes,230,14,2007,65000,Essence,300.0
Opel,Insignia,8,2012,100000,Diesel,228000.0
Land-rover,Range rover evoque,8,2016,230000,Diesel,180.0
Ford,Focus 5p,7,2011,92000,Diesel,296000.0
Seat,Ibiza,6,2021,156000,Essence,53000.0
Seat,Tarraco,8,2021,1,Diesel,169000.0
Citroen,C3,6,2018,119000,Diesel,75000.0
Renault,Clio,6,2021,148000,Diesel,94000.0
Volkswagen,Golf 7,6,2018,337000,Diesel,89000.0
Kia,Picanto,6,2021,120000,Essence,36000.0
Volkswagen,Tiguan,8,2018,305000,Diesel,109000.0
Hyundai,Tucson,6,2017,210000,Diesel,126000.0
Volkswagen,Touareg,12,2019,270000,Diesel,97000.0
Mercedes,200,9,2011,165000,Diesel,150000.0
Mercedes,Classe c,9,1998,64000,Diesel,254000.0
Ford,Focus 5p,6,2022,219000,Diesel,70000.0
Audi,Q5,8,2014,233000,Diesel,223000.0
Seat,Ibiza,6,2017,120000,Diesel,77000.0
Toyota,C-hr,10,2019,205000,Hybride,104000.0
Renault,Megane,6,2017,155000,Diesel,174.0
Volkswagen,Polo,6,2011,86000,Diesel,202000.0
Mazda,2,6,2011,52000,Essence,140000.0
Nissan,Qashqai,6,2021,218000,Diesel,85400.0
Volkswagen,Cc,8,2016,178000,Diesel,121000.0
Alfa-romeo,Giulietta,6,2016,125000,Diesel,165000.0
Fiat,Grande punto,6,2009,51000,Essence,130000.0
Kia,Picanto,6,2007,49000,Essence,183000.0
Audi,A4,8,2015,177000,Diesel,198000.0
Hyundai,I30,6,2013,125000,Diesel,166500.0
Jeep,Wrangler,11,2014,190000,Diesel,115000.0
Citroen,C-elysee,6,2019,112000,Diesel,200000.0
Volkswagen,Tiguan,8,2019,290000,Diesel,117000.0
Renault,Laguna,7,2001,53000,Diesel,113000.0
Peugeot,508,6,2012,98000,Diesel,214561.0
Mercedes,220,9,2015,260000,Diesel,135000.0
Renault,R19,7,1993,42000,Diesel,439000.0
Renault,Clio,7,2008,55000,Essence,239000.0
Toyota,Yaris,5,2017,126000,Diesel,114000.0
Bmw,Serie 5,12,2004,63000,Essence,217000.0
Jeep,Renegade,6,2017,165000,Diesel,116000.0
Mercedes,Classe b,6,2013,120000,Diesel,215000.0
Bmw,Serie 5,8,2017,320000,Diesel,125000.0
Peugeot,5008,8,2023,350000,Diesel,22000.0
Kia,Ceed,6,2021,170000,Diesel,46000.0
Volvo,S90,8,2021,310000,Diesel,127000.0
Mercedes,Autre,12,1996,32000,Diesel,600000.0
Audi,Autre,8,2017,260000,Diesel,84500.0
Hyundai,Accent,6,2018,130000,Diesel,127000.0
Ford,C max,7,2009,60000,Diesel,200000.0
Renault,Clio,6,2018,123000,Diesel,127000.0
Volkswagen,Caddy,6,2017,125000,Diesel,220000.0
Renault,Megane,6,2018,154000,Diesel,100000.0
Lancia,Delta,6,2009,80000,Diesel,230000.0
Citroen,C5 aircross,8,2020,225000,Diesel,90000.0
Renault,Clio,7,2018,95000,Essence,73000.0
Nissan,Micra,6,2021,136000,Diesel,92000.0
Skoda,Octavia,8,2012,115000,Diesel,300000.0
Skoda,Octavia,8,2012,115000,Diesel,30000.0
Renault,Laguna coupe,8,2015,103000,Diesel,160000.0
Peugeot,301,6,2021,127000,Diesel,75000.0
Mini,Countryman,9,2012,102000,Essence,140000.0
Mercedes,Classe c,8,2010,105000,Diesel,2940000.0
Hyundai,Creta,6,2022,240000,Diesel,109415.0
Land-rover,Freelander,9,2010,110000,Diesel,182000.0
Ford,Focus 4p,7,2014,115000,Diesel,169700.0
Bmw,Serie 3,14,2001,60000,Essence,250000.0
Nissan,Qashqai,6,2013,140000,Diesel,140000.0
Dacia,Logan,6,2020,120000,Diesel,70.0
Volkswagen,Tiguan,8,2012,162000,Diesel,202000.0
Volkswagen,Polo,7,2012,79000,Essence,112000.0
Hyundai,I10,5,2009,58000,Essence,170000.0
Volkswagen,Tiguan,8,2019,380000,Diesel,152000.0
Audi,Q5,8,2015,260000,Diesel,138000.0
Bmw,X3,8,2016,232000,Diesel,81500.0
Jeep,Compass,6,2019,205000,Diesel,85400.0
Jeep,Grand cherokee,11,2015,164000,Diesel,200000.0
Ford,Fiesta,6,2015,112000,Diesel,138000.0
Kia,Sportage,6,2021,250000,Diesel,58543.0
Cupra,Leon,8,2024,360000,Diesel,5000.0
Land-rover,Range rover evoque,9,2014,197000,Diesel,193000.0
Volkswagen,Golf 6,6,2010,119000,Diesel,227000.0
Seat,Leon,6,2019,158000,Diesel,179000.0
Toyota,Corolla cross,9,2023,280000,Hybride,30000.0
Jeep,Grand cherokee,12,2018,165000,Diesel,158000.0
Mercedes,280,12,1980,239999,Essence,4000.0
Mercedes,220,9,2009,125000,Diesel,222800.0
Ford,Fiesta,6,2012,83000,Diesel,220000.0
Renault,Express,6,2023,155000,Diesel,56000.0
Toyota,Corolla,8,2006,66000,Essence,239000.0
Renault,Express,6,2021,150000,Diesel,100000.0
Hyundai,Accent,6,2018,125000,Diesel,80000.0
Bmw,Serie 3,8,2012,150000,Diesel,201000.0
Honda,Legend,21,2012,89000,Essence,200000.0
Nissan,Qashqai,6,2021,230000,Diesel,28000.0
Fiat,Tipo,7,2018,110000,Diesel,107000.0
Opel,Crossland,6,2021,185000,Diesel,44000.0
Seat,Leon,8,2009,82000,Diesel,170000.0
Fiat,500l,6,2014,107000,Diesel,160000.0
Changan,Alsvin,8,2024,165000,Essence,17200.0
Skoda,Kodiaq,8,2020,350000,Diesel,130000.0
Mini,Countryman,9,2022,285000,Essence,35000.0
Dacia,Logan,6,2017,90000,Diesel,192000.0
Mazda,3,9,2011,65000,Essence,150.0
Ford,Mondeo,6,1998,33000,Diesel,305452.0
Volkswagen,Touareg,12,2013,130000,Diesel,230000.0
Hyundai,Ix35,8,2013,130000,Diesel,190000.0
Mercedes,Classe a berline,8,2020,330500,Diesel,100900.0
Ford,F-150,10,2001,45000,Diesel,153000.0
Dacia,Lodgy,6,2022,135000,Diesel,97000.0
Bmw,X3,8,2011,165000,Diesel,190000.0
Kia,Soul,6,2011,92000,Diesel,144000.0
Dacia,Lodgy,6,2023,160000,Diesel,35000.0
Hyundai,Santa fe,9,2011,125000,Diesel,240000.0
Volkswagen,Tiguan,8,2018,330000,Diesel,145000.0
Volvo,S60,8,2019,185000,Diesel,109000.0
Citroen,C5 aircross,8,2020,240000,Diesel,109000.0
Ds,Ds7 crossback,8,2021,285000,Diesel,119000.0
Volkswagen,Touareg,10,2010,99000,Diesel,210000.0
Fiat,500x,8,2024,242000,Essence,4000.0
Alfa-romeo,Autre,8,2023,315000,Hybride,9000.0
Alfa-romeo,Autre,6,2024,341000,Diesel,4000.0
Fiat,500,7,2024,168000,Essence,24000.0
Fiat,500,7,2024,167000,Essence,19000.0
Ds,Ds7 crossback,8,2020,295000,Diesel,109000.0
Jeep,Renegade,8,2023,242000,Hybride,14000.0
Kia,Sorento,8,2021,373000,Diesel,44000.0
Fiat,500,7,2024,167000,Essence,24000.0
Opel,Astra,6,2022,272000,Diesel,34000.0
Citroen,C5 aircross,8,2021,215000,Diesel,149000.0
Ford,Ecosport,6,2018,158000,Diesel,64000.0
Renault,Megane 4,6,2020,193000,Diesel,54000.0
Volkswagen,Golf 7,8,2023,270000,Diesel,119000.0
Dacia,Sandero,6,2019,125000,Diesel,78000.0
Bmw,Serie 3,8,2014,205000,Diesel,78000.0
Fiat,500,7,2022,150000,Essence,3000.0
Jeep,Renegade,6,2022,207998,Diesel,109000.0
Fiat,500,7,2021,138000,Essence,64000.0
Ds,Ds4,6,2016,149000,Diesel,99000.0
Jeep,Cherokee,9,2021,239000,Diesel,79000.0
Renault,Captur,8,2024,198000,Essence,9000.0
Volkswagen,Touareg,12,2019,249000,Diesel,139000.0
Renault,Megane,6,2016,134998,Diesel,149000.0
Mercedes,Classe b,6,2016,164000,Diesel,84000.0
Volkswagen,Passat,15,2016,125000,Essence,109000.0
Citroen,C4,7,2023,245000,Diesel,39000.0
Peugeot,2008,6,2020,227998,Diesel,109000.0
Dacia,Sandero,6,2021,137000,Diesel,94000.0
Ford,Fusion,8,2016,170000,Diesel,119000.0
Toyota,Corolla,8,2022,205000,Hybride,139000.0
Volkswagen,Touareg,11,2019,319900,Diesel,62200.0
Mercedes,220,9,2003,79500,Diesel,330000.0
Jeep,Compass,6,2021,210000,Diesel,46700.0
Land-rover,Discovery sport,8,2020,325000,Diesel,41000.0
Renault,Kadjar,6,2018,187000,Diesel,109000.0
Volvo,S60,11,2021,390000,Hybride,69000.0
Opel,Mokka,6,2023,247000,Diesel,54000.0
Bmw,X4,8,2017,319998,Diesel,99000.0
Volkswagen,Tiguan,8,2019,310000,Diesel,109000.0
Ford,Fusion,8,2016,169999,Diesel,119000.0
Seat,Tarraco,8,2023,359998,Diesel,54000.0
Dacia,Sandero stepway,6,2021,149898,Diesel,39000.0
Kia,Seltos,6,2023,245000,Diesel,24000.0
Citroen,2 cv,4,1980,75000,Essence,99000.0
Land-rover,Range rover evoque,8,2018,305000,Diesel,109000.0
Hyundai,H350,10,2018,165000,Diesel,100000.0
Kia,Sportage,6,2022,239998,Diesel,49000.0
Mini,Cooper,9,2017,172000,Essence,59000.0
Bmw,X3,8,2019,357000,Diesel,99000.0
Mazda,3,9,2021,170000,Essence,49000.0
Volkswagen,Touareg,12,2020,377000,Diesel,109000.0
Bmw,Serie 3,8,2020,326500,Diesel,149000.0
Jaguar,F-pace,8,2018,315000,Diesel,109000.0
Fiat,500,7,2022,135000,Essence,54000.0
Bmw,X1,8,2016,230000,Diesel,129000.0
Bmw,X5,8,2017,340000,Diesel,129000.0
Ford,Kuga,8,2019,228000,Diesel,129000.0
Opel,Corsa,6,2016,117000,Essence,64000.0
Volkswagen,Caddy,8,2016,134000,Diesel,249000.0
Renault,Autre,9,2024,310000,Hybride,14000.0
Hyundai,Santa fe,9,2021,305000,Diesel,89000.0
Mercedes,220,9,2017,280000,Diesel,147000.0
Volkswagen,Touareg,12,2018,228000,Diesel,129000.0
Bmw,Serie 3,8,2019,370000,Diesel,55000.0
Peugeot,208,6,2021,175000,Diesel,89000.0
Jeep,Compass,6,2018,199000,Diesel,54000.0
Fiat,500,7,2024,168000,Essence,4000.0
Alfa-romeo,Autre,8,2023,317000,Essence,9000.0
Kia,Sportage,8,2023,325000,Diesel,34000.0
Fiat,Tipo hatchback,6,2024,226000,Diesel,4000.0
Nissan,Juke,6,2021,184000,Essence,29000.0
Ford,Focus 5p,6,2022,229000,Diesel,39000.0
Alfa-romeo,Autre,6,2024,336000,Diesel,14000.0
Jeep,Grand cherokee,12,2019,349000,Diesel,54000.0
Dacia,Sandero,6,2018,128000,Diesel,63000.0
Dacia,Dokker,6,2020,128000,Diesel,94000.0
Volkswagen,Touareg,12,2020,380000,Diesel,109000.0
Ford,Fiesta,7,2016,75000,Essence,155000.0
Seat,Ibiza,6,2022,199000,Diesel,44000.0
Hyundai,Santa fe,9,2009,95000,Diesel,199000.0
Volvo,S60,11,2021,379000,Hybride,74000.0
Hyundai,Tucson,9,2023,336000,Hybride,24000.0
Bmw,Serie 1,6,2019,245000,Diesel,99000.0
Jeep,Cherokee,9,2019,219000,Diesel,149000.0
Hyundai,Tucson,6,2019,259000,Diesel,119000.0
